Start Time,Stop Time,Duration,Type,MP3 File,Transcript File,Transcript,Summary
0.0,5.1,5.1,speech,speech_output_segment_1.mp3,speech_0.txt,"/ 그래서 다양한의 택을 즐기세요.
  돼지고기 먹고나 살땐 원산지를 꼭 확인하세요.","- 분류: 아님
- 제품:
- 회사:"
5.1,10.8,5.7,speech,speech_output_segment_2.mp3,speech_5.txt,/ 영양도 맛도 신선함도 국내산 돼지고기 한돈에서 6시를 알려드립니다.,"- 분류: 광고
- 제품: 국내산 돼지고기 한돈
- 회사: 없음"
10.8,12.1,1.3,music,music_output_segment_3.mp3,music_10.txt,/,"- 분류: 안됨
- 제품: 
- 회사:"
12.1,45.4,33.3,speech; music,speech_output_segment_5.mp3; music_output_segment_4.mp3,speech_43.txt; music_12.txt,/  / 아이고 인생이 연기처럼,"- 분류: 안됨
- 제품:
- 회사:"
45.4,47.6,2.3,music,music_output_segment_6.mp3,music_45.txt,/ 가라지네,"- 분류: 안됨
- 제품:
- 회사: 가라지네"
47.6,58.0,10.3,speech,speech_output_segment_7.mp3,speech_47.txt,/ 노년의 엄마가 작은 목소리로 말하자 중년의 딸은 가슴이 점이는 듯해 감히 그 고통을 느낄 수조차 없을 것 같습니다.,"- 분류: 아님
- 제품:
- 회사:"
58.0,64.3,6.3,speech; music,music_output_segment_8.mp3; speech_output_segment_9.mp3,music_57.txt; speech_59.txt,"/  / 정말 그렇네
  다른 높나지 없는 목소리로 대답...","- 분류: 안됨
- 제품:
- 회사:"
64.3,66.0,1.7,music,music_output_segment_10.mp3,music_64.txt,/ 다!,"- 분류: 안됨
- 제품:
- 회사:"
66.0,71.0,5.1,speech,speech_output_segment_11.mp3,speech_65.txt,"/ 아유, 제대로 살지도 않았는데
  3월만 가버리고 있어","- 분류: 아님
- 제품:
- 회사:"
71.0,77.9,6.9,music,music_output_segment_12.mp3,music_71.txt,/,"- 분류: 안됨
- 제품:
- 회사:"
77.9,87.3,9.4,speech,speech_output_segment_13.mp3,speech_77.txt,"/ 더운 일상은 문뚱뚱 떠올라오는 자기 상실의 감각마저 뒤로 하고
  삶의 주인이 되는 기쁨까지 외면하면서 삶의","- 분류: 아님
- 제품:
- 회사:"
87.3,89.3,2.0,music,music_output_segment_14.mp3,music_87.txt,/ 공무하게 합니다,"- 분류: 안됨
- 제품:
- 회사:"
89.3,110.5,21.2,speech,speech_output_segment_15.mp3,speech_89.txt,"/ 세상의 모든 관계 중에서 그 애증의 깊이가 가장 깊다는 모녀 사이 다른 어머니와의 관계에서 동일 씨와 투사, 질투와 연민 등 다양한 갈등이 얽 얼켜있는 걸 칩치합니다.
  둘 사이를 사나운 애착 관계로 이름 붙입니다.","- 분류: 아님
- 제품:
- 회사:"
110.5,124.7,14.2,music,music_output_segment_16.mp3,music_110.txt,/,"- 분류: 안됨
- 제품:
- 회사:"
124.7,132.7,8.1,speech,speech_output_segment_17.mp3,speech_124.txt,/ 비비연고닉의 자전적 에세이 사나운 애착은 세상의 모든 관계를 되돌아본 게 합니다.,"- 분류: 아님
- 제품:
- 회사:"
132.7,134.1,1.3,music,music_output_segment_18.mp3,music_132.txt,/,"- 분류: 안됨
- 제품:
- 회사:"
134.1,144.0,9.9,speech,speech_output_segment_19.mp3,speech_134.txt,/ 세상의 그 어떤 사랑도 당연한 건 없고 그 어떤 관계도 노력없이는 계속 이어지기가 어렵습니다.,"- 분류: 아님
- 제품:
- 회사:"
144.0,146.4,2.4,music,music_output_segment_20.mp3,music_143.txt,/ 시스템,"- 분류: 안됨
- 제품:
- 회사:"
146.4,151.6,5.3,speech,speech_output_segment_21.mp3,speech_146.txt,"/ 12월 15일 일요일입니다.
  배출 수익 막 캠프","- 분류: 안됨
- 제품:
- 회사:"
151.6,159.5,7.8,music,music_output_segment_22.mp3,music_151.txt,/ 부탁드립니다!,"- 분류: 안됨
- 제품:
- 회사:"
159.5,165.5,6.0,music,music_output_segment_24.mp3; music_output_segment_23.mp3; music_output_segment_25.mp3,music_163.txt; music_159.txt; music_161.txt,/ 뱅뱅뱅 뱅뱅 / 네. / 뱅뱅뱅뱅,"- 분류: 안됨
- 제품:
- 회사:"
165.5,294.4,128.9,music,music_output_segment_26.mp3,music_165.txt,"/ 그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요
  그녀를 잊지 마세요","- 분류: 아님
- 제품: 
- 회사:"
294.4,296.3,1.9,speech,speech_output_segment_27.mp3,speech_294.txt,"/ 에이, 렛스티카!","- 분류: 안됨
- 제품: 
- 회사:"
296.3,303.0,6.7,speech,speech_output_segment_28.mp3,speech_296.txt,"/ 커넥션 들었습니다.
  자 뭐 연결 관계 뭐 이런 뜻이죠.","- 분류: 안됨
- 제품:
- 회사:"
303.0,310.0,6.9,speech,speech_output_segment_29.mp3; speech_output_segment_31.mp3; speech_output_segment_30.mp3,speech_304.txt; speech_303.txt; speech_307.txt,/ 음... / 디스쿠자 키와 총치자 예 / 커넥션은 지금,"- 분류: 안됨
- 제품:
- 회사:"
310.0,317.2,7.2,speech,speech_output_segment_34.mp3; speech_output_segment_33.mp3; speech_output_segment_32.mp3,speech_312.txt; speech_309.txt; speech_311.txt,/ 어떤 상태입니까? / 잘 이어져 있습니까? / 그렇게 믿고 있습니다 저는 그렇게 믿고 있습니다,"- 분류: 안됨
- 제품:
- 회사:"
317.2,324.1,6.9,speech,speech_output_segment_36.mp3; speech_output_segment_37.mp3; speech_output_segment_35.mp3,speech_317.txt; speech_319.txt; speech_318.txt,/ 다 synths / 여러분은 / 청취자들도 천천한 별이니까,"- 분류: 안됨
- 제품:
- 회사:"
